,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
377,Bereda,ES,1553028840,75,81,43.27,-7.54,284.82,3.1
378,Wasilla,US,1553028607,40,69,61.58,-149.44,277.59,0.76
379,Erenhot,CN,1553028870,80,36,43.65,111.97,279.857,3.46
380,Beringovskiy,RU,1553028871,0,100,63.05,179.32,251.156,2.56
381,Kaura Namoda,NG,1553028871,0,26,12.59,6.58,299.357,3.26
382,Tra Vinh,VN,1553028871,56,83,9.93,106.35,299.757,3.21
383,Atar,MR,1553028874,32,14,20.52,-13.05,293.607,2.96
384,Upington,ZA,1553025600,0,13,-28.46,21.24,300.15,2.6
385,Laguna,MX,1553024400,5,39,27.52,-110.01,300.15,3.6
386,Caceres,CO,1553028875,76,87,5.53,-74.53,296.556,0.76
387,Cervo,BR,1553025600,20,69,-22.19,-46.24,300.15,4.6
388,Phangnga,TH,1553025600,20,74,8.45,98.53,300.15,3.6
389,Fairbanks,US,1553028700,90,86,64.84,-147.72,273.15,7.7
390,Hualmay,PE,1553028876,12,69,-11.1,-77.61,298.007,2.21
391,Payo,ID,1553028877,64,95,-3.75,103.64,295.857,1.61
392,Concordia,AR,1553027812,75,65,-31.4,-58.02,299.82,4.1
393,Kidal,ML,1553028877,20,17,18.44,1.41,296.806,3.91
394,Nishihara,JP,1553028798,1,60,35.74,139.53,285.15,1.5
395,Kamenka,RU,1553027348,76,79,53.19,44.05,273.15,4.16
396,Bisira,PA,1553028878,8,47,8.52,-81.71,302.757,1.36
397,Chicama,PE,1553025600,20,78,-7.84,-79.15,296.15,4.1
398,Taltal,CL,1553028879,0,67,-25.41,-70.49,294.556,1.61
399,Villarrica,CL,1553028314,0,42,-39.28,-72.23,290.15,5.7
400,Bonthe,SL,1553028879,0,79,7.53,-12.5,300.806,2.26
401,Guerrero Negro,MX,1553028879,0,46,27.97,-114.04,294.457,4.46
402,Bundaberg,AU,1553028604,8,94,-24.87,152.35,298.15,1.61
403,Japura,ID,1553028880,48,86,-0.42,102.29,297.607,0.41
404,Hudson Bay,CA,1553028880,0,73,52.86,-102.4,280.207,2.91
405,Bollene,FR,1553028605,0,46,44.28,4.75,283.15,7.7
406,Micheweni,TZ,1553028880,92,100,-4.97,39.83,300.757,4.61
407,Mohpa,IN,1553025600,0,48,21.31,78.83,301.15,1.0
408,College,US,1553028847,90,86,64.86,-147.8,273.15,7.7
409,Lufilufi,WS,1553028785,32,79,-13.87,-171.6,302.04,5.66
410,Punta Alta,AR,1553025600,20,45,-27.46,-55.82,303.15,1.5
411,Kushnarenkovo,RU,1553025600,0,73,55.11,55.34,269.82,1.79
412,Sardarshahr,IN,1553028943,0,56,28.43,74.48,288.156,2.61
413,Sirjan,IR,1553028944,0,50,29.44,55.67,274.406,2.06
414,Tabuleiro do Norte,BR,1553028944,20,68,-5.24,-38.13,301.906,3.56
415,Nanning,CN,1553025600,90,100,22.83,108.3,292.15,2.0
416,Oriximina,BR,1553028944,20,74,-1.77,-55.87,303.107,1.26
417,Anamur,TR,1553025720,40,93,36.08,32.84,284.26,1.5
418,Deniliquin,AU,1553028945,0,84,-35.53,144.96,287.306,1.31
419,Goderich,CA,1553028902,0,59,43.74,-81.71,279.26,4.02
420,Manggar,ID,1553028945,48,100,-2.88,108.27,297.857,2.26
421,Profondeville,BE,1553028939,75,65,50.38,4.87,281.15,0.5
422,Gao,ML,1553028946,0,24,16.28,-0.04,301.306,4.61
423,Yar-Sale,RU,1553028946,80,84,66.83,70.83,267.707,7.41
424,Iquitos,PE,1553025600,40,319,-3.75,-73.25,279.15,1.5
425,Rach Gia,VN,1553025600,0,100,10.02,105.08,297.15,2.41
426,Faya,SA,1553025600,0,36,18.39,42.45,291.15,3.1
427,Comodoro Rivadavia,AR,1553025600,40,47,-45.87,-67.48,288.15,5.1
428,Pontes e Lacerda,BR,1553028947,0,75,-15.23,-59.33,303.656,1.56
429,Northport,US,1553028944,1,18,33.23,-87.58,290.37,2.1
430,Safranbolu,TR,1553028948,0,78,41.25,32.69,277.556,0.76
431,Novaya Lyalya,RU,1553028948,0,78,59.05,60.6,265.857,1.46
432,Businga,CD,1553028948,64,75,3.34,20.89,298.457,0.51
433,Bitung,ID,1553023800,20,100,1.44,125.19,296.15,1.0
434,Forrest City,US,1553028323,0,29,35.01,-90.79,290.15,2.61
435,Tecoanapa,MX,1553024400,5,66,16.99,-99.26,303.15,2.6
436,Vondrozo,MG,1553028949,48,89,-22.82,47.32,297.357,2.01
437,Westport,IE,1553028724,92,94,53.8,-9.52,282.04,4.56
438,Salinopolis,BR,1553028950,92,100,-0.61,-47.36,299.857,3.36
439,Misratah,LY,1553028950,100,96,32.38,15.09,288.306,6.56
440,Luwuk,ID,1553028950,8,97,-0.95,122.79,297.507,1.16
441,Vila,IT,1553028938,0,56,45.18,8.4,283.15,1.0
442,Sinop,TR,1553028951,0,92,42.03,35.15,281.306,5.61
443,Haines Junction,CA,1553028951,0,67,60.75,-137.51,278.806,3.21
444,Port Hedland,AU,1553025600,0,83,-20.31,118.58,301.15,1.0
445,Vila Velha,BR,1553027290,75,88,-3.71,-38.6,299.82,2.6
446,Buritis,BR,1553028952,44,51,-15.62,-46.42,304.207,1.91
447,Bridlington,GB,1553028617,8,76,54.08,-0.19,284.15,3.1
448,Hovd,NO,1553028917,75,35,63.83,10.7,279.82,4.1
449,Lazaro Cardenas,MX,1553028930,40,28,28.39,-105.62,294.82,2.1
450,Iqaluit,CA,1553028764,20,57,63.75,-68.52,249.26,7.7
451,Bucerias,MX,1553028920,5,73,20.76,-105.33,298.71,5.7
452,Azle,US,1553028952,1,43,32.9,-97.55,295.37,6.2
453,San Carlos de Bariloche,AR,1553025600,20,54,-41.13,-71.31,287.15,1.5
454,Sarulesti,RO,1553028918,48,57,44.42,26.65,284.26,7.2
455,Yarim,YE,1553028954,0,70,14.3,44.38,281.207,1.06
456,Zyryanka,RU,1553028954,0,61,65.73,150.89,243.606,1.06
457,Yabassi,CM,1553025600,40,88,4.46,9.97,301.15,1.0
458,Muroto,JP,1553028955,0,100,33.37,134.14,279.857,4.46
459,Leua,AO,1553028955,0,87,-11.65,20.45,292.857,0.86
460,Bandundu,CD,1553028955,36,75,-3.32,17.38,300.207,1.61
461,Saldanha,PT,1553028955,0,56,41.42,-6.55,282.306,4.01
462,Sur,OM,1553028956,0,99,22.57,59.53,294.306,1.16
463,Tatishchevo,RU,1553025600,0,92,51.67,45.59,272.15,1.26
464,Damphu,BT,1553028956,76,100,27.07,90.11,282.806,0.36
465,Dno,RU,1553028957,56,87,57.83,29.97,274.306,4.61
466,Henties Bay,NA,1553025731,0,91,-22.12,14.28,290.37,2.68
467,Price,US,1553028844,1,27,39.6,-110.81,284.82,6.7
468,Ostersund,SE,1553027506,0,68,63.18,14.64,273.15,5.1
469,Biak,ID,1553029019,8,97,-0.91,122.88,297.507,1.16
470,Kropotkin,RU,1553028317,0,78,45.43,40.58,278.71,5.51
471,Calvinia,ZA,1553029019,32,76,-31.47,19.78,289.306,1.66
472,Kristianstad,SE,1553028343,0,64,56.03,14.16,275.15,3.6
473,Lompoc,US,1553029019,1,35,34.64,-120.46,295.15,2.6
474,Makakilo City,US,1553028783,1,53,21.35,-158.09,297.15,3.6
475,Enid,US,1553028502,1,24,36.4,-97.88,295.37,9.3
476,Geraldton,CA,1553025600,90,48,49.72,-86.95,277.15,8.2
477,Rio Gallegos,AR,1553025600,75,47,-51.62,-69.22,287.15,9.8
478,Jiangkou,CN,1553029022,48,81,30.7,117.56,293.556,6.61
479,Rio Verde de Mato Grosso,BR,1553029022,20,66,-18.92,-54.84,303.556,1.86
480,Namibe,AO,1553029022,0,100,-15.19,12.15,297.857,5.46
481,Bandar-e Lengeh,IR,1553029025,0,99,26.56,54.88,293.957,8.26
482,Hamilton,BM,1553028324,90,93,32.3,-64.78,291.15,3.6
483,Kaeo,NZ,1553027884,0,88,-35.1,173.78,290.93,3.41
484,Zubova Polyana,RU,1553029026,88,96,54.08,42.84,273.707,3.96
485,Yerbogachen,RU,1553028971,64,79,61.28,108.01,258.707,1.21
486,Severodvinsk,RU,1553025600,75,91,64.56,39.82,274.15,3.0
487,Kuminskiy,RU,1553029027,44,91,58.67,66.57,266.007,2.46
488,Aitape,PG,1553029027,36,99,-3.15,142.36,298.957,4.31
489,Ostrovnoy,RU,1553029027,80,96,68.05,39.51,272.207,4.46
490,Warrington,GB,1553028812,20,81,53.39,-2.59,283.71,2.1
491,Nicoya,CR,1553025600,20,34,10.15,-85.45,309.15,4.6
492,Presidente Epitacio,BR,1553029028,36,100,-21.76,-52.12,298.607,0.41
493,Rincon,US,1553028957,1,40,32.3,-81.24,290.93,5.1
494,Kelvington,CA,1553029029,0,91,52.16,-103.52,275.056,4.36
495,Southbridge,US,1553029029,75,32,42.08,-72.03,281.15,5.1
496,Natal,BR,1553025600,20,70,-5.81,-35.21,303.15,3.1
497,Yaritagua,VE,1553029033,36,57,10.08,-69.12,301.607,1.81
498,Zhigansk,RU,1553029034,0,32,66.77,123.37,243.156,1.06
499,Nouadhibou,MR,1553025600,76,82,20.93,-17.03,291.15,8.2
500,Bonfim,BR,1553025600,75,61,-20.33,-44.24,301.15,1.5
501,Amga,RU,1553029035,32,56,60.89,131.98,248.557,1.16
502,Exeter,GB,1553029028,75,76,50.73,-3.53,283.71,1.5
503,Athabasca,CA,1553028908,0,76,54.72,-113.29,285.656,2.11
504,Huarmey,PE,1553029036,20,59,-10.07,-78.15,298.806,1.71
505,Ixtapa,MX,1553028920,5,73,20.71,-105.21,298.71,5.7
506,Nuuk,GL,1553025000,75,77,64.17,-51.74,259.15,4.6
507,Houma,CN,1553029036,64,94,35.63,111.36,281.556,1.36
508,Sisimiut,GL,1553029011,8,46,66.94,-53.67,246.206,1.16
509,Alexandria,US,1553028577,1,26,31.31,-92.44,294.82,2.1
510,Statesboro,US,1553028957,1,20,32.45,-81.78,290.15,3.1
511,Lekoni,GA,1553029037,36,79,-1.58,14.26,297.406,1.66
512,Bathsheba,BB,1553025600,20,54,13.22,-59.52,302.15,7.2
513,Evensk,RU,1553029038,12,100,61.92,159.24,256.257,6.16
514,Isangel,VU,1553029038,80,100,-19.55,169.27,298.757,7.26
515,Las Cruces,CL,1553025600,0,48,-33.5,-71.62,301.15,7.7
516,Moa,CU,1553029039,24,66,20.66,-74.95,298.906,1.16
517,Bowen,AU,1553029012,75,94,-20.01,148.25,297.04,4.66
518,Vallenar,CL,1553029040,0,66,-28.58,-70.76,295.607,1.31
519,Nouakchott,MR,1553027400,44,64,18.08,-15.98,295.15,6.2
520,Roald,NO,1553028903,75,75,62.58,6.12,280.15,8.7
521,Xining,CN,1553029101,24,67,36.62,101.77,266.857,0.96
522,Okha,RU,1553029102,0,64,53.59,142.95,250.757,1.71
523,Kargasok,RU,1553029102,80,88,59.06,80.87,269.406,1.06
524,Leh,IN,1553029102,76,79,34.16,77.58,255.807,0.31
525,Popondetta,PG,1553029103,92,96,-8.77,148.24,293.406,0.81
526,Gazli,UZ,1553029103,12,85,40.13,63.45,281.656,4.66
527,Dodge City,US,1553028923,20,41,37.75,-100.02,287.15,8.7
528,Zhezkazgan,KZ,1553029104,8,78,47.8,67.71,266.806,4.66
529,Feijo,EC,1553025600,75,62,-3.63,-79.92,305.15,3.6
530,Najran,SA,1553025600,5,43,17.54,44.22,295.15,1.11
531,Freire,CL,1553028314,0,42,-38.95,-72.63,290.15,5.7
